trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,8,21.071183786068854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,7,-5.911833827016064,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,13,-49.82892767410749,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,10,-0.34492515743709995,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,15,21.154380048586518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,12,-1.1449621959138734,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,7,0.39903415415335197,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,9,21.040820524264706,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,16,9.120833248380618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,8,21.0569714838153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,-3,-3.051971368063578,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,16,9.098368395307698,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,12,5.961920736078277,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,4,27.223301778674646,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,-2,21.309995887437083,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,19,-16.953304440439812,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,9,31.4989968039875,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,15,8.896902576839269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,7,-55.734633539809025,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",35,11,-49.907871304728474,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,8,24.234581536643365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,16,14.387131839481789,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,7,-20.917514470225605,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",30,18,9.062820373741264,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",25,14,24.801915324407112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,9,5.862794456012001,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,12,18.482125442646012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,17,-6.161841635510386,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",25,16,19.407822856928956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,12.561331479150137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,13,24.627423139441795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,26.407932888128542,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,12,21.773262819469338,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,22.530155639424027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,-15,68.94422477565521,"{0: 40, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,17,17.063591845849974,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,2,44.30176660402779,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,25,18.70883698970852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,22.522280189001297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
