trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.1, 'e': 0.9971888181122075}",25,0,-142.03122549326025,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.1, 'e': 0.9971133898230555}",20,6,-70.0219802940766,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.1, 'e': 0.9970369644205967}",20,0,-27.77799993257683,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.9969595419812568}",30,0,-289.60487298189935,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 5}",0
79,False,"{'a': 0.1, 'e': 0.9968811225824579}",20,0,-183.4722369010693,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
80,False,"{'a': 0.1, 'e': 0.9968017063026194}",30,0,-199.31523897018798,"{0: 17, 1: 0, 2: 8, 3: 3, 4: 2}",0
81,False,"{'a': 0.1, 'e': 0.9967212932211577}",30,0,-81.15691201743233,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9966398834184859}",20,0,-58.48825739046621,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.9965574769760137}",25,0,-102.94378964330424,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9964740739761475}",20,0,-116.02172074174004,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.9963896745022904}",25,0,-103.05798936945953,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.1, 'e': 0.996304278638842}",25,0,-226.91591989619363,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
87,False,"{'a': 0.1, 'e': 0.9962178864711978}",20,0,-132.18202532336477,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
88,False,"{'a': 0.1, 'e': 0.9961304980857502}",20,0,-129.39870920566938,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.1, 'e': 0.9960421135698875}",20,12,-41.9564769692485,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.9959527330119943}",20,0,-163.9804954108159,"{0: 8, 1: 3, 2: 4, 3: 4, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.9958623565014509}",20,5,-68.79890994848067,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.9957709841286342}",20,0,-40.36084149379592,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.1, 'e': 0.9956786159849162}",25,0,-205.1506166508919,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
94,False,"{'a': 0.1, 'e': 0.9955852521626654}",20,0,-147.76115192902972,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
95,False,"{'a': 0.1, 'e': 0.9954908927552453}",20,0,-142.09271485139521,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
96,False,"{'a': 0.1, 'e': 0.9953955378570153}",25,1,-56.984398746107914,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.9952991875633305}",30,0,-159.15200040308633,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
98,False,"{'a': 0.1, 'e': 0.995201841970541}",30,8,-116.89800717960662,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 1}",1
99,False,"{'a': 0.1, 'e': 0.9951035011759926}",20,0,-126.05555696886864,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
100,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,0,-90.22277082351957,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.9949038343759766}",20,0,-79.81769417810165,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
102,False,"{'a': 0.1, 'e': 0.994802508570176}",20,0,-120.07691091760087,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.9947001879619498}",35,0,-218.09709720141967,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
104,False,"{'a': 0.1, 'e': 0.9945968726536185}",20,0,-110.72769038939477,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.1, 'e': 0.9944925627484974}",20,0,-77.20910152132126,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.9943872583508965}",20,0,-158.44128490681928,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
107,False,"{'a': 0.1, 'e': 0.9942809595661201}",25,0,-168.30663559867492,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.9941736665004669}",35,0,-125.2247081050667,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9940653792612301}",20,0,-146.32471499532687,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
110,False,"{'a': 0.1, 'e': 0.9939560979566968}",25,0,-108.7982785101228,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
111,False,"{'a': 0.1, 'e': 0.9938458226961485}",25,0,-121.33104050234668,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
112,False,"{'a': 0.1, 'e': 0.9937345535898603}",25,0,-139.91250058508902,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.9936222907491012}",35,17,-63.397228676919966,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.9935090342861342}",30,0,-135.5131040182222,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
115,False,"{'a': 0.1, 'e': 0.9933947843142158}",20,0,-45.53794887159505,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.9932795409475959}",30,0,-127.13463980131424,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
117,False,"{'a': 0.1, 'e': 0.9931633043015177}",20,0,-119.25251592273897,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.993046074492218}",35,0,-125.32209229219312,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.9929278516369265}",25,0,-76.42965270404467,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.9928086358538663}",25,6,-182.90152367965842,"{0: 8, 1: 1, 2: 5, 3: 3, 4: 2}",1
121,False,"{'a': 0.1, 'e': 0.9926884272622528}",25,5,-158.70338145513844,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",1
122,False,"{'a': 0.1, 'e': 0.9925672259822949}",30,0,-294.5802164240082,"{0: 10, 1: 5, 2: 10, 3: 1, 4: 4}",0
123,False,"{'a': 0.1, 'e': 0.9924450321351935}",20,0,-86.32033628051813,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.9923218458431429}",25,0,-108.36781592983513,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
125,False,"{'a': 0.1, 'e': 0.992197667229329}",25,0,-103.19535519321325,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
126,False,"{'a': 0.1, 'e': 0.9920724964179307}",30,0,-230.0039296510218,"{0: 16, 1: 4, 2: 3, 3: 4, 4: 3}",0
127,False,"{'a': 0.1, 'e': 0.9919463335341185}",20,0,-135.53625987225274,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
128,False,"{'a': 0.1, 'e': 0.9918191787040556}",20,0,-118.20519296162088,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
